"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.509660292E0,-5.634283447E-1,-1.561552734E0,9.716145172E0
3.519711292E0,-4.799020386E-1,-1.369053040E0,9.754166107E0
3.529762292E0,-4.459226990E-1,-1.101259918E0,9.754315796E0
3.539813292E0,-4.168830872E-1,-9.376501465E-1,9.728868713E0
3.549865292E0,-3.905378723E-1,-8.750802612E-1,9.720785522E0
3.559916292E0,-3.272195435E-1,-7.964936829E-1,9.739496613E0
3.569967292E0,-2.261796570E-1,-7.099736023E-1,9.744436340E0
3.580018292E0,-2.317181396E-1,-6.640191650E-1,9.721833344E0
3.590069292E0,-2.508782959E-1,-5.998027039E-1,9.754615173E0
3.600120292E0,-1.297801208E-1,-4.784051514E-1,9.756710815E0
3.610171292E0,1.990859985E-2,-3.722758484E-1,9.767488403E0
3.620222292E0,-3.442840576E-2,-3.050656128E-1,9.735005951E0
3.630273292E0,2.679428101E-2,-2.013313293E-1,9.748927002E0
3.640324292E0,2.409988403E-2,-8.562194824E-2,9.744735718E0
3.650375292E0,-9.475296021E-2,2.140548706E-2,9.806856537E0
3.660426292E0,-1.773811340E-1,6.331832886E-2,9.826465759E0
3.670477292E0,-1.525328064E-1,-2.874023438E-2,9.771529999E0
3.680528292E0,-7.155120850E-2,-1.950444031E-1,9.749675446E0
3.690579292E0,9.175918579E-2,-3.864962769E-1,9.693093109E0
3.700630292E0,2.619552612E-1,-2.685415649E-1,9.564510498E0
3.710681292E0,3.775149536E-1,-3.218307495E-2,9.586814117E0
3.720732292E0,7.559280396E-2,1.932481384E-1,9.751771088E0
3.730783292E0,-5.957611084E-2,3.338058472E-1,9.783355408E0
3.740834292E0,-7.484436035E-2,2.621049500E-1,9.695338440E0
3.750885292E0,-9.654922485E-2,2.836601257E-1,9.739197235E0
3.760936292E0,-1.351689148E-1,2.573149109E-1,9.710457001E0
3.770987292E0,-1.802252197E-1,2.495310974E-1,9.736203461E0
3.781038292E0,-1.930984497E-1,2.353106689E-1,9.729467468E0
3.791089292E0,-2.125579834E-1,2.246827698E-1,9.730515289E0
3.801140292E0,-2.465373230E-1,2.157014465E-1,9.725425873E0
3.811191292E0,-2.345622253E-1,1.948947144E-1,9.731114044E0
3.821242292E0,-2.389031982E-1,1.755848694E-1,9.733359375E0
3.831293292E0,-2.442919922E-1,1.658551025E-1,9.720935211E0
3.841344292E0,-2.405497742E-1,1.445993042E-1,9.720037079E0
3.851395292E0,-2.450404358E-1,1.312770081E-1,9.728868713E0
3.861446292E0,-2.360591125E-1,1.212478638E-1,9.732012177E0
3.871497292E0,-2.438429260E-1,1.079255676E-1,9.740694122E0
3.881548292E0,-2.366578674E-1,8.861572266E-2,9.735455017E0
3.891599292E0,-2.377056885E-1,8.352630615E-2,9.731263733E0
3.901650292E0,-2.333647156E-1,5.388793945E-2,9.727820892E0
3.911701292E0,-2.224374390E-1,3.652404785E-2,9.729766846E0
3.921752292E0,-2.237846375E-1,2.230361938E-2,9.731712799E0
3.931804292E0,-2.134561157E-1,6.436614990E-3,9.732012177E0
3.941855292E0,-2.062710571E-1,8.831634521E-3,9.732760620E0
3.951906292E0,-1.977388000E-1,6.436614990E-3,9.737400970E0
3.961957292E0,-1.884580994E-1,1.975891113E-2,9.745783539E0
3.972008292E0,-1.707948303E-1,3.787124634E-2,9.741143188E0
3.982059292E0,-1.737886047E-1,5.568420410E-2,9.737550659E0
3.992110292E0,-1.685494995E-1,7.155120850E-2,9.739197235E0
4.002161292E0,-1.634600830E-1,8.427474976E-2,9.728719025E0
4.012212292E0,-1.679507446E-1,9.355545044E-2,9.725874939E0
4.022263292E0,-1.823208618E-1,9.639953613E-2,9.726623383E0
4.032314292E0,-1.845661926E-1,9.624984741E-2,9.733808441E0
4.042365292E0,-1.809736633E-1,9.325607300E-2,9.730515289E0
4.052416292E0,-1.806742859E-1,8.187973022E-2,9.717192993E0
